date,temperature (celsius),precipitation (mm/day),flow_observed (mm/day)
9/30/2003,10.93055556,1.778,0.353198932
10/1/2003,9.127777778,5.08,0.33725713
10/2/2003,6.827777778,0,0.3389331
10/3/2003,8.233333333,0,0.322926694
10/4/2003,12.76666667,1.524,0.307969819
10/5/2003,13.66388889,0,0.29435153
10/6/2003,14.86666667,0,0.281898646
10/7/2003,15.46388889,0,0.270466767
10/8/2003,17.11388889,0,0.259934508
10/9/2003,17.65,0,0.250199075
10/10/2003,18.34166667,0,0.241172825
10/11/2003,19.98333333,0,0.232780568
10/12/2003,19.91388889,0.254,0.22495742
10/13/2003,19.30277778,0,0.217647093
10/14/2003,15.38055556,24.13,0.606287795
10/15/2003,11.63888889,0.254,0.29788492
10/16/2003,11.83888889,0,0.285152516
10/17/2003,9.875,0.254,0.273457979
10/18/2003,11.46944444,0,0.262693819
10/19/2003,12.65277778,0,0.252752599
10/20/2003,14.27222222,0,0.243542882
10/21/2003,16.42777778,0,0.23498635
10/22/2003,10.18611111,0,0.227015522
10/23/2003,8.930555556,0,0.219571939
10/24/2003,9.091666667,0,0.212604701
10/25/2003,14.825,0,0.206069278
10/26/2003,12.42222222,8.382,0.223424064
10/27/2003,10.60277778,0,0.217914463
10/28/2003,10.60277778,0,0.211067292
10/29/2003,10.60277778,0,0.204625323
10/30/2003,10.60277778,0,0.198567732
10/31/2003,10.60277778,0,0.192860958
11/1/2003,10.60277778,0,0.187475246
11/2/2003,10.60277778,0,0.182384126
11/3/2003,10.60277778,0,0.17756397
11/4/2003,10.60277778,0,0.172993617
11/5/2003,10.60277778,0,0.16865406
11/6/2003,13.47777778,0.508,0.16452818
11/7/2003,8.902777778,0.254,0.160600513
11/8/2003,4.897222222,0,0.156857058
11/9/2003,5.586111111,0.254,0.153285104
11/10/2003,10.53055556,0,0.149873088
11/11/2003,14.44444444,0.508,0.146610465
11/12/2003,16.65555556,16.764,0.20854646
11/13/2003,5.494444444,0,0.181745466
11/14/2003,1.891666667,0.508,0.176968107
11/15/2003,5.361111111,9.652,0.182963156
11/16/2003,10.15277778,4.064,0.198166301
11/17/2003,14.00555556,0,0.199294348
11/18/2003,14.64444444,11.938,0.220395317
11/19/2003,9.605555556,34.29,2.042423609
11/20/2003,7.383333333,0.254,3.208486689
11/21/2003,10.23611111,0,2.096425763
11/22/2003,10.26944444,0,1.540893221
11/23/2003,11.33055556,0,1.2288437
11/24/2003,5.547222222,10.922,1.082540503
11/25/2003,0.905555556,0,1.268149073
11/26/2003,4.591666667,0,1.079260529
11/27/2003,7.633333333,1.524,0.86801738
11/28/2003,5.880555556,15.748,1.695799854
